name,location,property_status,property_type,property_size,price,bedrooms,bathrooms,Pool,link
Timeshare - Marriott Surf Club (reduced),Noord,For Rent,,,USD 220 ,,,,https://www.casnan.com/listing/aruba/timeshare-marriott-surf-club-reduced/5765
House For Rent - Oranjestad,Oranjestad,For Rent,,,USD 110 ,,,,https://www.casnan.com/listing/aruba/house-for-rent-oranjestad/4792
Commercial Space FOR RENT - Oranjestad,Oranjestad,For Rent,,,Price Upon Request,,,,https://www.casnan.com/listing/aruba/commercial-space-for-rent-oranjestad/6210
FOR SALE Commercial Buildings with 5 Apartments - CUMANA,Oranjestad,For Sale,,,"USD 4,494,382 ",,,,https://www.casnan.com/listing/aruba/for-sale-commercial-buildings-with-5-apartments-cumana/5919
COMPOUND FOR SALE - Tanki Leendert,Tanki Leendert,For Sale,,,"USD 3,651,685 ",,,,https://www.casnan.com/listing/aruba/compound-for-sale-tanki-leendert/3592
Property Land  For Sale - Santa Lucia,Santa Cruz,For Sale,,,"USD 1,564,000 ",,,,https://www.casnan.com/listing/aruba/property-land-for-sale-santa-lucia/6277
LAND FOR SALE - Catashi,Santa Cruz,For Sale,,,"USD 1,313,202 ",,,,https://www.casnan.com/listing/aruba/land-for-sale-catashi/4773
Commercial Building - Macapruimstraat,Oranjestad,For Sale,,,"USD 1,235,955 ",,,,https://www.casnan.com/listing/aruba/commercial-building-macapruimstraat/6209
Property land ideal for housing project/investment purposes(Camacuri z/n),Oranjestad,For Sale,,,"USD 1,208,944 ",,,,https://www.casnan.com/listing/aruba/property-land-ideal-for-housing-projectinvestment-purposescamacuri-zn/6234
6 Apartments and commercial Office FOR SALE - Oranjestad,Oranjestad,For Sale,,,"USD 1,200,000 ",,,,https://www.casnan.com/listing/aruba/6-apartments-and-commercial-office-for-sale-oranjestad/6296
Commercial Property and House FOR SALE - Morgenster,Santa Cruz,For Sale,,,"USD 1,128,090 ",,,,https://www.casnan.com/listing/aruba/commercial-property-and-house-for-sale-morgenster/6151
VILLA FOR SALE - Wayaca,Oranjestad,For Sale,,,"USD 1,123,596 ",,,,https://www.casnan.com/listing/aruba/villa-for-sale-wayaca/3168
Apartment Complex on Auction - Bubali,Noord,For Sale,,,"USD 1,123,596 ",,,,https://www.casnan.com/listing/aruba/apartment-complex-on-auction-bubali/6105
Warehouse For Sale -Barcadera *,Oranjestad,For Sale,,,"USD 1,118,865 ",,,,https://www.casnan.com/listing/aruba/warehouse-for-sale-barcadera/6204
For Sale - New condo with Ocean View in Oranjestad,Oranjestad,For Sale,,,"USD 884,831 ",,,,https://www.casnan.com/listing/aruba/for-sale-new-condo-with-ocean-view-in-oranjestad/5840
"Sabana Liber 13 A, Noord",Noord,For Sale,,,"USD 842,697 ",,,,https://www.casnan.com/listing/aruba/sabana-liber-13-a-noord/625
APARTMENT COMPLEX FOR SALE - Sabana Grandi,Santa Cruz,For Sale,,,"USD 842,697 ",,,,https://www.casnan.com/listing/aruba/apartment-complex-for-sale-sabana-grandi/4863
HOUSE FOR SALE - Rooi Afo,Paradera,For Sale,,,"USD 842,697 ",,,,https://www.casnan.com/listing/aruba/house-for-sale-rooi-afo/5369
Property Land  For Sale - Meiveld,Oranjestad,For Sale,,,"USD 737,360 ",,,,https://www.casnan.com/listing/aruba/property-land-for-sale-meiveld/6297
Townhouse For Sale - Noord,Noord,For Sale,,,"USD 725,000 ",,,,https://www.casnan.com/listing/aruba/townhouse-for-sale-noord/6319
FOR SALE: SHINING STAR BAR & APARTMENT  (reduced),Noord,For Sale,,,"USD 702,247 ",,,,https://www.casnan.com/listing/aruba/for-sale-shining-star-bar-apartment-reduced/5633
FOR SALE House and 3 Apartments - Meiveld,Oranjestad,For Sale,,,"USD 700,000 ",,,,https://www.casnan.com/listing/aruba/for-sale-house-and-3-apartments-meiveld/5787
5x Apartments FOR SALE - Caya Frere Laurentius,Oranjestad,For Sale,,,"USD 699,000 ",,,,https://www.casnan.com/listing/aruba/5x-apartments-for-sale-caya-frere-laurentius/5833
HOUSE FOR SALE - George MaduroStraat,Oranjestad,For Sale,,,"USD 687,079 ",,,,https://www.casnan.com/listing/aruba/house-for-sale-george-madurostraat/3612
Building Oranjestad For Sale,Oranjestad,For Sale,,,"USD 678,000 ",,,,https://www.casnan.com/listing/aruba/building-oranjestad-for-sale/5902
Commercial Building For Sale - Oranjestad,Oranjestad,For Sale,,,"USD 674,158 ",,,,https://www.casnan.com/listing/aruba/commercial-building-for-sale-oranjestad/5789
COMMERCIAL PROPERTY- Ponton ( main road),Oranjestad,For Sale,,,"USD 674,158 ",,,,https://www.casnan.com/listing/aruba/commercial-property-ponton-main-road/6146
COMMERCIAL PROPERTY- Ponton ( main road),Oranjestad,For Sale,,,"USD 674,158 ",,,,https://www.casnan.com/properties?listing_type_id=2&order=price%7CDESC&filter=1&page=2
COMMERCIAL PROPERTY- Ponton ( main road),Oranjestad,For Sale,,,"USD 674,158 ",,,,https://www.casnan.com/properties?listing_type_id=2&order=price%7CDESC&filter=1&page=3
COMMERCIAL PROPERTY- Ponton ( main road),Oranjestad,For Sale,,,"USD 674,158 ",,,,https://www.casnan.com/properties?listing_type_id=2&order=price%7CDESC&filter=1&page=4
COMMERCIAL PROPERTY- Ponton ( main road),Oranjestad,For Sale,,,"USD 674,158 ",,,,https://www.casnan.com/properties?listing_type_id=2&order=price%7CDESC&filter=1&page=5
Warehouse  For Sale -  Seroe Blanco,Oranjestad,For Sale,,,"USD 674,157 ",,,,https://www.casnan.com/listing/aruba/warehouse-for-sale-seroe-blanco/6311
House For Sale - Fergusonstraat,Oranjestad,For Sale,,,"USD 671,349 ",,,,https://www.casnan.com/listing/aruba/house-for-sale-fergusonstraat/5806
PROPERTY FOR SALE - Ponton (prime location),Oranjestad,For Sale,,,"USD 671,348 ",,,,https://www.casnan.com/listing/aruba/property-for-sale-ponton-prime-location/4769
"Property land in the nature, excellent business opportunity(Maria Maai)",Santa Cruz,For Sale,,,"USD 651,686 ",,,,https://www.casnan.com/listing/aruba/property-land-in-the-nature-excellent-business-opportunitymaria-maai/5698
House For Sale - Tierra Del Sol,Malmok / Westpunt,For Sale,,,"USD 645,000 ",,,,https://www.casnan.com/listing/aruba/house-for-sale-tierra-del-sol/5782
FOR SALE - Machine Shop INVENTORY,Pos Chiquito,For Sale,,,"USD 639,045 ",,,,https://www.casnan.com/listing/aruba/for-sale-machine-shop-inventory/6153
House with Studio Apartment FOR SALE - Kamay,Noord,For Sale,,,"USD 635,000 ",,,,https://www.casnan.com/listing/aruba/house-with-studio-apartment-for-sale-kamay/6317
Commercial Building - Oranjestad,Oranjestad,For Sale,,,"USD 617,978 ",,,,https://www.casnan.com/listing/aruba/commercial-building-oranjestad/6302
House with 7 Apartments +Office - Hubadastraat,Oranjestad,For Sale,,,"USD 593,258 ",,,,https://www.casnan.com/listing/aruba/house-with-7-apartments-office-hubadastraat/6249
5x Apartments For Sale - Pos Abao,Noord,For Sale,,,"USD 561,798 ",,,,https://www.casnan.com/listing/aruba/5x-apartments-for-sale-pos-abao/6258
APARTMENTS FOR SALE - Ponton,Oranjestad,For Sale,,,"USD 553,371 ",,,,https://www.casnan.com/listing/aruba/apartments-for-sale-ponton/4409
HOUSE FOR SALE -  Marawiel,Paradera,For Sale,,,"USD 533,708 ",,,,https://www.casnan.com/listing/aruba/house-for-sale-marawiel/5335
COMMERCIAL BUILDING FOR SALE - Oranjestad,Oranjestad,For Sale,,,"USD 505,618 ",,,,https://www.casnan.com/listing/aruba/commercial-building-for-sale-oranjestad/4784
House For Sale at  Rooi Afo,Santa Cruz,For Sale,,,"USD 505,618 ",,,,https://www.casnan.com/listing/aruba/house-for-sale-at-rooi-afo/5918
Warehouses  For Sale - Olijfstraat,Oranjestad,For Sale,,,"USD 488,618 ",,,,https://www.casnan.com/listing/aruba/warehouses-for-sale-olijfstraat/6202
House For Sale - Pos Chikito,Pos Chiquito,For Sale,,,"USD 449,438 ",,,,https://www.casnan.com/listing/aruba/house-for-sale-pos-chikito/6071
Property For Sale - Rooi Kochi*,Savaneta,For Sale,,,"USD 449,438 ",,,,https://www.casnan.com/listing/aruba/property-for-sale-rooi-kochi/6205
House FOR SALE - Caya Frere Bernadinus,Oranjestad,For Sale,,,"USD 449,438 ",,,,https://www.casnan.com/listing/aruba/house-for-sale-caya-frere-bernadinus/6272
House with guest house in a cul-de-sac(Sabana Liber/Palm Court),Noord,For Sale,,,"USD 449,000 ",,,,https://www.casnan.com/listing/aruba/house-with-guest-house-in-a-cul-de-sacsabana-liberpalm-court/6307
Two Properties on one Lot  FOR SALE -  Seroe Blanco,Oranjestad,For Sale,,,"USD 421,348 ",,,,https://www.casnan.com/listing/aruba/two-properties-on-one-lot-for-sale-seroe-blanco/6280
