name,location,property_status,property_type,price,bedrooms,bathrooms,Pool,Latitude,Longitude,link
Warawara Property Land,Santa Cruz,Reduced,Land for Sale,"182,584",0,0,No,12.503925376153195,"-69.9701784515625
        ",https://remaxaruba.com/property/details/warawara-property-land
Poschiquito.,Pos Chikito,New Listing,Residential for Sale,"182,584",3,1,No,12.466372066806285,"-69.95907410624085
        ",https://remaxaruba.com/property/details/poschiquito
Catiri 27 J,Noord,Under Contract,Residential for Sale,"169,000",2,2,No,12.544101896306799,"-70.017814483667
        ",https://remaxaruba.com/property/details/catiri-1
Apelsinastraat # 27,Oranjestad,Under Contract,Residential for Sale,"169,000",4,2,1 m,12.51685041382273,"-70.01538976671753
        ",https://remaxaruba.com/property/details/apelsinastraat-27
Ir. Luymesstraat 7,Pos Chikito,New Listing,Residential for Sale,"156,742",3,2,No,12.469231966513954,"-69.97452899458466
        ",https://remaxaruba.com/property/details/ir-luymesstraat-7
Hooiberg Property Land,Hooiberg,Reduced,Land for Sale,"150,000",0,0,0 m,12.51703894280988,"-70.00087365152893
        ",https://remaxaruba.com/property/details/hooiberg-property-land-lot-2306
Alto Vista 26 W,Noord,New Listing,Residential for Sale,"149,000",1,1,Yes,12.5092044,"-70.0086306
        ",https://remaxaruba.com/property/details/sabana-liber-26-w
Papaya Property Land,Paradera,New Listing,Land for Sale,"140,449",0,0,No,12.541533446639278,"-70.01115455868302
        ",https://remaxaruba.com/property/details/papaya-property-land
Brasil 104 a,Savaneta,New Listing,Residential for Sale,"135,000",3,1,No,12.44299932326905,"-69.92183431627808
        ",https://remaxaruba.com/property/details/brasil-104-a
Scobillastraat 15,Pos Chikito,New Listing,Residential for Sale,"134,000",2,1,No,12.469085305757963,"-69.97237786295472
        ",https://remaxaruba.com/property/details/scobillastraat-15
Prof Laurentzstraat 22,Oranjestad,Under Contract,Residential for Sale,"131,000",4,1,No,12.524873247793789,"-70.03920778276978
        ",https://remaxaruba.com/property/details/Prof-laurentzstraat-22
Sombre Z/N,Santa Cruz,New Listing,Land for Sale,"126,404",0,0,No,12.511257324578246,"-69.95927795412598
        ",https://remaxaruba.com/property/details/sombre-zn
Sero preto 23,San Nicolas,New Listing,Residential for Sale,"126,000",4,1,No,12.438934283428983,"-69.91028472425995
        ",https://remaxaruba.com/property/details/sero-preto-23
Paradera 46 R,Oranjestad,New Listing,Residential for Sale,"109,551",2,2,No,12.532361699230373,"-70.0101433658844
        ",https://remaxaruba.com/property/details/paradera-46-r
Rooi koochi Residence,Savaneta,Under Contract,Land for Sale,"99,788",0,0,No,12.457793518574329,"-69.93480011465607
        ",https://remaxaruba.com/property/details/rooi-koochi-residence
Timeshare in Marriot Surf Club,Eagle Beach,New Listing,Timeshare for Sale,"30,000",2,2,Yes,12.580251217832991,"-70.04283412935791
        ",https://remaxaruba.com/property/details/timeshare-in-marriot-surf-club
La Cabana Beach and Racquet Club,Eagle Beach,,,"15,000",1,2,Yes,12.551265143490658,"-70.05334838869629
        ",https://remaxaruba.com/property/details/la-cabana-beach-and-racquet-club
Barcelo,Eagle Beach,Reduced,Residential for Sale,"12,000",0,0,0 m,12.5092044,"-70.0086306
        ",https://remaxaruba.com/property/details/barcelo
La Cabana Beach and Racquet Club,Eagle Beach,,,"6,000",1,2,Yes,12.550594906593261,"-70.05566581728516
        ",https://remaxaruba.com/property/details/la-cabana-beach-and-racquet-club-2
Lux Villa 129,Malmok,New Listing,Residential for Rent,"6,000",3,2,Yes,12.598742585659519,"-70.04060618401788
        ",https://remaxaruba.com/property/details/Lux-villa-129
Gold Coast Diamante 195 G,Malmok,,,"4,000",2,2,Yes,12.598931260440168,"-70.04051670076905
        ",https://remaxaruba.com/property/details/diamante-195-g
Plaza Daniel Leo Square - Apartment A,Malmok,New Listing,Apartment for Rent,"3,800",3,2,No,12.598931260440065,"-70.04021629335938
        ",https://remaxaruba.com/property/details/Plaza-DanielleoAptA
Plaza Daniel Leo Square - Apartment E,Malmok,New Listing,Apartment for Rent,"3,800",3,3,No,12.598931260440065,"-70.04021629335938
        ",https://remaxaruba.com/property/details/Plaza-DanielleoAptE
RENTED - Gold Coast 236 C,Noord,Rented,Condominium for Rent,"3,200",2,2,Yes,12.597533445599817,"-70.03968521597443
        ",https://remaxaruba.com/property/details/gold-coast-236c
