name,location,property,price,bedrooms,bathrooms,Pool,link
Two bedroom apartment in Oranjestad ,,"
This","USD 2,500", 2, 2,,https://homecityaruba.com//listings/luxury-2-bedroom-apartment-solito
Las Rocas 17,,"
Rented!
FOR",C,,,,https://homecityaruba.com//listings/las-rocas-17-c
Home at Piedra Plat ,,"
Rented!
Having","USD 2,300",,,,https://homecityaruba.com//listings/home-piedra-plat
Commercial unit Piedra Plat 3 ,,"
For","USD 2,286",,,,https://homecityaruba.com//listings/commercial-unit-piedra-plat-3
Building in Wayaca ,,"
Rented!
This","USD 2,260", 400 m2, 398 m2,,https://homecityaruba.com//listings/wayaca-43-g
Commercial space in Oranjestad ,,"
This","USD 2,244",,,,https://homecityaruba.com//listings/officeretail-space-solito-oranjestad
Gold Coast 139B ,,"
Rented!
Step","USD 2,200",,,,https://homecityaruba.com//listings/diamante-139-b
Home at Ponton ,,"
Rented!
Beautiful,","USD 2,000", 2, 4,,https://homecityaruba.com//listings/ponton90D
Home at Tanki Leendert ,,"
Rented!
Great","USD 2,000", 2, 3,,https://homecityaruba.com//listings/home-tanki-leendert-4
Commercial unit 2 at Piedra Plat ,,"
For","USD 2,000",,,,https://homecityaruba.com//listings/commercial-unit-piedra-plat-2
House in Papilon ,,"
This","USD 1,980", 111 m2, 497 m2,,https://homecityaruba.com//listings/house-papilon
Office for rent Oranjestad ,,"
Looking","USD 1,966",,,,https://homecityaruba.com//listings/office-rent-oranjestad
House in Nune ,,"
Rented!
This","USD 1,925",,,,https://homecityaruba.com//listings/nune-7f
Apartment in Palm Beach ,,"

Rented!
Brand","USD 1,800", 2, 2,,https://homecityaruba.com//listings/apartment-3
Office on Boulevard ,,"
Located","USD 1,719", 2, 102 m2,,https://homecityaruba.com//listings/office-boulevard
Commercial Unit in Piedra Plat 1 ,,"
For","USD 1,715",,,,https://homecityaruba.com//listings/commercial-unit
Bayside Mall in Oranjestad ,,"
In","USD 1,645",,,,https://homecityaruba.com//listings/commercial-location-oranjestad
Home at Seroe Blanco ,,"
Rented!
This","USD 1,600", 4, 3,,https://homecityaruba.com//listings/home-seroe-blanco
Home at Bona Vista ,,"
Rented!
This","USD 1,600", 2, 3,,https://homecityaruba.com//listings/home-bona-vista
Home at Wayaca ,,"
Rented!
This","USD 1,550",,,,https://homecityaruba.com//listings/home-wayaca
Home at Primavera ,,"
Rented!
This","USD 1,500", 2, 3,,https://homecityaruba.com//listings/home-primavera
Commercial location in Eagle ,,"
Great","USD 1,500",,,,https://homecityaruba.com//listings/commercial-location-eagle
Home at Esmeralda ,,"
As","USD 1,500", 1, 2,,https://homecityaruba.com//listings/home-esmeralda
Apartment in Palm Beach ,,"

Rented!
Brand","USD 1,400", 1, 1,,https://homecityaruba.com//listings/apartment-2
Home at Bubali ,,"
Rented!
This","USD 1,400", 163 m2, 397 m2,,https://homecityaruba.com//listings/home-bubali
Duplex Home in Noord ,,"
Rented!
Newly","USD 1,400", 1, 2,,https://homecityaruba.com//listings/duplex-home-noord
Home at Ponton ,,"
Rented!
This","USD 1,400", 2, 3,,https://homecityaruba.com//listings/home-ponton-2
Home at Calbas ,,"
Rented!
Cozy","USD 1,400",,,,https://homecityaruba.com//listings/home-calbas-25
Home at Nuñe ,,"
Rented!
This","USD 1,400",,,,https://homecityaruba.com//listings/home-nune-2
Alto Prado Unit 8 ,,"
Rented!
Utilities","USD 1,350",,,,https://homecityaruba.com//listings/alto-prado-unit-8
Two,,"
The",bedroom apartment Regents Park no. 1, 2, 2,,https://homecityaruba.com//listings/2-bedroom-apartment-regents-park-residence
Home at Paradera ,,"
Rented!
This","USD 1,300",,,,https://homecityaruba.com//listings/home-paradera
Napa Valley home ,,"
Rented!
This","USD 1,264", 3, 2021,,https://homecityaruba.com//listings/napa-valley-home
Offices at Piedra Plat ,,"
Rented!
Looking","USD 1,250",,,,https://homecityaruba.com//listings/piedra-plat-98-paradera
House in Bubali ,,"
This","USD 1,150", 1, 2,,https://homecityaruba.com//listings/house-bubali
Commercial building in San Nicolas ,,"
Great","USD 1,130", 1, 150 m2,,https://homecityaruba.com//listings/commercial-building-san-nicolas
Commercial building in Ponton ,,"
Rented!
Great","USD 1,130",,,,https://homecityaruba.com//listings/commercial-building-ponton
Home at Pos Chiquito ,,"






This","USD 1,130", 2, 3,,https://homecityaruba.com//listings/home-pos-chiquito-2
Home at Pos Chiquito ,,"
Rented!
This","USD 1,130", 2, 3,,https://homecityaruba.com//listings/home-pos-chiquito-3
Commercial Building Oranjestad ,,"
For","USD 1,130",,,,https://homecityaruba.com//listings/retail-building-oranjestad-2
Home at Tanki Flip ,,"
This","USD 1,075", 2, 2,,https://homecityaruba.com//listings/home-tanki-flip
Apartment at Palm Beach ,,"
For","USD 1,030", 4, 2,,https://homecityaruba.com//listings/2-bedroom-apt-palm-beach
Home at Madiki ,,"
Rented!
This","USD 1,000",,,,https://homecityaruba.com//listings/home-madiki
Apartment in Noord ,,"
Rented!
This","USD 1,000", 1, 1,,https://homecityaruba.com//listings/apartment-noord-2
Offices at Tanki Flip ,,"
Nice",USD 980, 34 m2, 34 m2,,https://homecityaruba.com//listings/commercial-units
Condo at Palm Beach ,,"
Rented!
Nice",USD 950, 1, 1,,https://homecityaruba.com//listings/palm-beach-rental
Two,,"
This",bedroom home Regents Park no. 4, 1, 2,,https://homecityaruba.com//listings/2-bedroom-home-regents-park-residence-4
Two,,"
This",bedroom home Regents Park no. 5, 1, 2,,https://homecityaruba.com//listings/2-bedroom-home-regents-park-residence-5
Apartment in Paradera ,,"
Rented!
This",USD 857, 1, 1,,https://homecityaruba.com//listings/apartment-paradera
Apartment in Catiri ,,"
For",USD 857, 1, 2,,https://homecityaruba.com//listings/apt-catiri
Appartment in Madiki ,,"
This",USD 850, 1, 2,,https://homecityaruba.com//listings/appartment-in-madiki-2
Apartment in Ponton ,,"
Rented!
This",USD 850, 1, 2,,https://homecityaruba.com//listings/apartment
Apartment in Wayaca ,,"
Rented!
This",USD 850, 2, 2,,https://homecityaruba.com//listings/apartment-wayaca
Cunucu house in Babijn ,,"
Rented!
This",USD 825, 2, 1,,https://homecityaruba.com//listings/cunucu-house-babijn
Casibari Apartment ,,"
In",USD 815, 1, 1,,https://homecityaruba.com//listings/casibari-apartment
Noord Apt. #2A ,,"
Rented!
Nice",USD 760, 1, 2,,https://homecityaruba.com//listings/apartment-noord
Rutena Oranjestad #2 ,,"
Rented!
Beautiful",USD 750, 2, 1,,https://homecityaruba.com//listings/rutena-3
Rutena Oranjestad #1 ,,"
Rented!
Beautiful",USD 750, Walking Distance, 1,,https://homecityaruba.com//listings/rutena-2
Apartment in Oranjestad ,,"
Rented!
Nice",USD 715,,,,https://homecityaruba.com//listings/irenestraat-2-bedroom-aprtment
One,,"
The",bedroom apartment Regents Park No. 2,,,,https://homecityaruba.com//listings/one-bedroom-apartment-regents-park-residence
Apartment in Palm Beach ,,"
For",USD 690, 2, 1,,https://homecityaruba.com//listings/apartment-palm-beach
Appartment in Madiki ,,"
This",USD 674, 1, 1,,https://homecityaruba.com//listings/appartment-in-madiki
Apartment in Seroe Blanco ,,"
Rented!
This",USD 674, 1, 1,,https://homecityaruba.com//listings/apartment-seroe-blanco
Appartment in Santa Cruz ,,"
RENTED!



Cunucu",USD 635,,,,https://homecityaruba.com//listings/appartment-santa-cruz
Studio Regents Park no. 3 ,,"
The",USD 617,,,,https://homecityaruba.com//listings/studio-regents-park-residence
