name,location,property_status,property_type,price,bedrooms,bathrooms,Pool,Latitude,Longitude,link
CASA Orcuyo,Hooiberg,New Listing,"
                                    Longterm Rentals
                                ","1,500",3,2,Pool,12.515279333577777,"-69.99142154696045
                ",https://aruba-realty.com/property/details/casa-orcuyo
CasaTera Grandi (Main House),St. Cruz Sabana Grandi 13B,New Listing,"
                                    Longterm Rentals
                                ","1,489",,,,,,https://aruba-realty.com/property/details/casatera-grandi-main-house
Casa Del Rey,Paradera Paradera 46M,Rented,"
                                    Longterm Rentals
                                ","1,461",,,,,,https://aruba-realty.com/property/details/casa-del-rey
CASA Tradewinds Apartment #1,Rooi Santo,Rented,"
                                    Longterm Rentals
                                ","1,405",2,1,Airconditioned,12.586177880891007,"-70.0348518753296
                ",https://aruba-realty.com/property/details/casa-tradewinds-appartment-4
CASA Tradewinds Apartment #2,Rooi Santo,Rented,"
                                    Longterm Rentals
                                ","1,405",2,1,Airconditioned,12.586219764948583,"-70.0350879097229
                ",https://aruba-realty.com/property/details/casa-tradewinds-appartment-2-2
CASA Fuerte Yellow,Tanki Leendert fuerte 64,Rented,"
                                    Longterm Rentals
                                ","1,400",2,2.5,Airconditioned,12.5516298,"-70.0101193
                ",https://aruba-realty.com/property/details/casa-fuerte-yellow
CASA Irene,Oranjestad Irenestraat 17,Rented,"
                                    Longterm Rentals
                                ","1,350",3,2,Airconditioned,12.5154584,"-70.032676
                ",https://aruba-realty.com/property/details/casa-irene
CASA Seroe Blanco Executive,Oranjestad Seroe Blanco,Rented,"
                                    Longterm Rentals
                                ","1,300",,,,,,https://aruba-realty.com/property/details/casa-seroe-blanco-executive
CASA Cosy,Paradera,Rented,"
                                    Longterm Rentals
                                ","1,265",2,1,Airconditioned,12.529921430553953,"-70.0018767977005
                ",https://aruba-realty.com/property/details/casa-cosy
CASA Cumana Cunucu,Oranjestad Cumana,Rented,"
                                    Longterm Rentals
                                ","1,200",,,,,,https://aruba-realty.com/property/details/casa-cumana-cunucu
CASA Fair,Pos Chikito,Rented,"
                                    Longterm Rentals
                                ","1,124",,,,,,https://aruba-realty.com/property/details/casa-fair-2
CASA Catashi,St. Cruz,Rented,"
                                    Longterm Rentals
                                ","1,123",3,2,Airconditioned,12.515522851642078,"-69.9582359159237
                ",https://aruba-realty.com/property/details/casa-catashi
CASA Rooi Santo DeLuxe 4,North Rooi Santo 12,Rented,"
                                    Longterm Rentals
                                ","1,100",,,,,,https://aruba-realty.com/property/details/casa-rooi-santo-de-luxe
CASA Keito,North Keito,Rented,"
                                    Longterm Rentals
                                ","1,060",3,1,Airconditioned,12.5636965,"-70.039954
                ",https://aruba-realty.com/property/details/casa-keito
CASA Matadera Petit Three,Noord,Rented,"
                                    Longterm Rentals
                                ","1,011",,,,,,https://aruba-realty.com/property/details/casa-matadera-petit
CASA Trusty,Savaneta,Rented,"
                                    Longterm Rentals
                                ",927,,,,,,https://aruba-realty.com/property/details/casa-trusty
CASA Matadera Petit Two,Noord Matadera 16 F,Rented,"
                                    Longterm Rentals
                                ",899,2,1,Airconditioned,12.55071795802955,"-70.02228840830385
                ",https://aruba-realty.com/property/details/casa-matadera-petit-2
Casa Calabas Apartments # 3,Calbas,Rented,"
                                    Longterm Rentals
                                ",843,1,1,Airconditioned,12.555956752893216,"-70.00457509996949
                ",https://aruba-realty.com/property/details/casa-calbas-apartments-2
CASA Calabas Apartments,Calbas,New,"
                                    Longterm Rentals
                                ",843,1,1,Airconditioned,12.555956752893216,"-70.00457509996949
                ",https://aruba-realty.com/property/details/casa-calbas-apartments-2-3
CASA Matadera Petit One,Noord,Rented,"
                                    Longterm Rentals
                                ",814,1,1,Airconditioned,12.552705099671106,"-70.02356513979493
                ",https://aruba-realty.com/property/details/casa-matadera-petit-one
CASA Shanti,Oranjestad,New,"
                                    Longterm Rentals
                                ",758,,,,,,https://aruba-realty.com/property/details/casa-shanti
CASA Salina's apartment,North Salina Cerca 27A,New Listing,"
                                    Longterm Rentals
                                ",758,1,1,Airconditioned,12.579787673274335,"-70.03555854541014
                ",https://aruba-realty.com/property/details/casa-salinas-apartment
CASA Comfy,Seroe Blanco,Rented,"
                                    Longterm Rentals
                                ",731,,,,,,https://aruba-realty.com/property/details/casa-comfy
CASA Monty,North,Rented,"
                                    Longterm Rentals
                                ",702,1,1,Airconditioned,12.55708775307552,"-70.02828582766114
                ",https://aruba-realty.com/property/details/casa-monty
Casa Tera Grandi Apt.#3,St. Cruz Sabana Grandi 13B,New Listing,"
                                    Longterm Rentals
                                ",700,,,,,,https://aruba-realty.com/property/details/casa-tera-grandi-apt3
CASA The Baron,Eagle Beach,New Listing,"
                                    Longterm Rentals
                                ",674,1,1,Pool,12.545177,"-70.048912
                ",https://aruba-realty.com/property/details/casa-the-baron-4-2
CASA Bonaire,Pos Chiquito,Rented,"
                                    Longterm Rentals
                                ",674,,,,,,https://aruba-realty.com/property/details/casa-bonaire
CASA C'est la Vie Apartments,Tanki Leendert,New Listing,"
                                    Longterm Rentals
                                ",500,Dishwasher,Microwave,TV,12.54192099476498,"-70.02418449517664
                ",https://aruba-realty.com/property/details/casa-cest-la-vie-apartments
CASA Petite Cosy,Paradera,Rented,"
                                    Longterm Rentals
                                ",492,1,1,Airconditioned,12.529816697475686,"-70.00184997561036
                ",https://aruba-realty.com/property/details/casa-petitecosy
CASA Seroe Blanco Apart. nr 1,Oranjestad Seroe Blanco apt 3,New Listing,"
                                    Longterm Rentals
                                ",421,1,1,Airconditioned,12.5266075,"-70.0231967
                ",https://aruba-realty.com/property/details/casa-seroe-blanco-apartment-nr-2
CASA Seroe Blanco Apt. nr 2,Sero Blanco Sero Blanco 313A,New Listing,"
                                    Longterm Rentals
                                ",421,1,1,Airconditioned,12.528088595543604,"-70.02323791029511
                ",https://aruba-realty.com/property/details/casa-seroe-blanco-apt-nr-2
CASA Seroe Blanco Apart. nr 5,Oranjestad Seroe Blanco apt 3,New Listing,"
                                    Longterm Rentals
                                ",421,1,1,Airconditioned,12.5266075,"-70.0231967
                ",https://aruba-realty.com/property/details/casa-seroe-blanco-apartment-nr-3
CASA Seroe Blanco Studio nr 10,Oranjestad Seroe Blanco,New Listing,"
                                    Longterm Rentals
                                ",337,,,,,,https://aruba-realty.com/property/details/casa-seroe-blanco-studio-nr
CASA Seroe Blanco Studio nr 7,Oranjestad Seroe Blanco,New Listing,"
                                    Longterm Rentals
                                ",337,,,,,,https://aruba-realty.com/property/details/casa-seroe-blanco-studio-nr-7-2
CASA Distinct,Malmok Catalina 14,New,"
                                    Vacation Rentals
                                ",from,5,4.5,Pool,12.607879575927376,"-70.04399573409921
                ",https://aruba-realty.com/property/details/casa-distinct-3
CASA Palma Royale,Palm Beach,,,from,4,4,Pool,12.573968386756858,"-70.04122480394898
                ",https://aruba-realty.com/property/details/casa-palma-royale
CASA Paradise,Sabana Liber North,New Listing,"
                                    Vacation Rentals
                                ",from,4,3.5,Pool,12.563598818352837,"-70.01908346493707
                ",https://aruba-realty.com/property/details/casa-paradise
