Product_name,Alcohol_amount,Alcohol_percent,Price,Category
Chateau Courvoisier Fine Champagne Cognac,70,40,"1,800",Cognac
Hine 1858,75,40,"3,500",Cognac
Hine 1898 Cognac,70,40,"3,750",Cognac
Prunier 1988 Petite Champagne Cognac,70,48,345,Cognac
Hardy Lalique Winter,70,41,"8,500",Cognac
Pinet Castillon Cognac 1920,75,40,900,Cognac
Harvey's 1904 Cognac,70,40,"1,000",Cognac
Braastad Extra Cognac,70,40,230,Cognac
Braastad XO Superior Cognac,70,40,90.95,Cognac
Prunier 1988 Grande Champagne Cognac,70,42.7,340,Cognac
Prunier 1999 Grande Champagne Cognac,70,59.2,325,Cognac
Prunier 1990 Grande Champagne Cognac,70,46.5,290,Cognac
Prunier 1987 Petite Champagne Cognac,70,56.5,315,Cognac
Prunier 1971 Petite Champagne Cognac,70,57,425,Cognac
Prunier 1970 Petite Champagne Cognac,70,54.5,410,Cognac
Delamain Collection Plenitude 1980 Cognac,70,42,570,Cognac
Delamain Pale & Dry XO Centenaire,20,42,36.75,Cognac
Frapin Francois Rabelais,70,40,"10,000",Cognac
Rouyer Guillet 50 Year Old,70,40,"1,000",Cognac
Meukow Cognac No.7,75,40,"6,000",Cognac
Ferrand Legendaire Cognac,70,42.1,"2,000",Cognac
Seignette VS Cognac,70,40,32.45,Cognac
Delamain Pale & Dry XO Centenaire,50,42,86.95,Cognac
Otard Dupuy 1878 Cognac,75,40,"4,750",Cognac
Sazerac de Forge,75,40,"1,000",Cognac
Prunier 1996 Fins Bois Cognac,70,49.9,275,Cognac
Prunier 1994 Fins Bois Cognac,70,59.9,275,Cognac
Prunier 1976 Grande Champagne Cognac,70,44,380,Cognac
Vallein-Tercinier Vieille Reserve XO Cognac,70,40,97.95,Cognac
Michel Forgeron Barrique 99 Grande Champagne Single Estate Cognac,50,47,70.75,Cognac
Michel Forgeron Barrique 2.0 Grande Champagne Single Estate Cognac,70,47,68.75,Cognac
Paul Beau Lignée de Samuel Grande Champagne Cognac,70,43,390,Cognac
Guillon-Painturaud 72E3 Brut de fût Grande Champagne Single Cask Cognac,50,43.6,435,Cognac
Michel Forgeron Napoléon Grande Champagne Single Estate Cognac,70,43,69.95,Cognac
Michel Forgeron VS Grande Champagne Single Estate Cognac,70,40,38.25,Cognac
John Exshaw Very Old Cognac,68,40,299,Cognac
Hermitage Marie Louise 60 Year Old Grande Champagne Cognac,100,43,"1,700",Cognac
Hermitage 45 Year Old Grande Champagne Cognac,70,43.5,375,Cognac
Hermitage 20 Year Old Grande Champagne Cognac,70,42,105,Cognac
Leyrat Passion Cognac,50,42,"2,000",Cognac
ABK6 Reserve Artist Collection No.1,70,40,69.95,Cognac
Naud XO Fine Cognac,70,40,79.75,Cognac
Remy Martin Louis XIII Cognac,70,40,"5,000",Cognac
Rouyer Guillet 50 Year Old,70,40,"1,000",Cognac
Remi Landier XO Vieille Reserve,70,40,72.95,Cognac
Remi Landier XO Artisanal Cognac,70,40,125,Cognac
Remi Landier VS Cognac,70,40,39.75,Cognac
Remi Landier Special Pale Single Barrel Lot 2012 Cognac,70,45,54.45,Cognac
Remi Landier Napoleon Cognac,70,40,64.25,Cognac
Frapin Chateau de Fontpinot,73,41,250,Cognac
Hennessy 1913 Cognac,70,40,"2,500",Cognac
Hennessy Extra Cognac,68,40,900,Cognac
Ferrand SDA Selection Des Anges Cognac,70,41.8,160,Cognac
Hardy 3 Stars Cognac,70,40,99.95,Cognac
AE Dor No.1,70,36,"6,500",Cognac
Delamain 1893 Cognac,75,40,"3,750",Cognac
Hine 1914 Cognac,70,40,"1,200",Cognac
Fromy 1830 Cognac,35,40,"3,000",Cognac
Martell VVESOP Cognac,75,40,"6,000",Cognac
Through The Grapevine VSOP Cognac,70,44,46.95,Cognac
Louis XIII Black Pearl,35,40,"14,000",Cognac
Berry Bros 1904 Cognac,68,38.8,"1,200",Cognac
Martell Cordon Argent Cognac,75,43,"1,000",Cognac
Martell Cordon Argent Cognac,75,44,"1,000",Cognac
Martell Cordon Argent Extra Cognac,70,45,850,Cognac
Auger Fils & Cie 1865 Cognac,70,40,"5,000",Cognac
Frapin Chateau de Fontpinot,73,40,325,Cognac
Frapin Chateau de Fontpinot,73,41,275,Cognac
Prunier 1989 Vintage Cognac,70,58.9,310,Cognac
Prunier 1986 Vintage Cognac,70,51.8,290,Cognac
Guillon-Painturaud Memoires Single Cask 1965,50,40,775,Cognac
Hardy Lalique Autumn,70,41,"8,500",Cognac
Prunier 1969 Vintage Grande Champagne Cognac,70,54.5,430,Cognac
Paul Giraud Elegance Cognac,70,40,43.95,Cognac
ABK6 VS Single Estate Cognac,70,40,38.95,Cognac
ABK6 Extra Single Estate Cognac,70,43,399,Cognac
ABK6 Single Estate Cognac 1985,70,42.5,188,Cognac
ABK6 XO Renaissance Single Estate,70,40,134,Cognac
Matthew Gloag Very Fine Old Cognac,71,40,450,Cognac
Vallein-Tercinier Fins Bois Lot 89 Cognac,70,48.5,130,Cognac
François Voyer Amathus Special Selection Cognac,70,42,150,Cognac
François Voyer Terres de Grande Champagne Cognac,70,40,40.95,Cognac
François Voyer Napoleon Cognac,70,40,67.45,Cognac
François Voyer XO Cognac,70,40,114,Cognac
François Voyer VS Cognac,70,40,36.45,Cognac
Vaudon Barriques 78 & 80 Cognac,70,48,167,Cognac
Vaudon XO Cognac,70,40,85.75,Cognac
