name,location,property,price,bedrooms,bathrooms,Pool,link
Blue Residence Penthouse 2-2,Eagle Beach,New Listing,1.142.500,3,4,Yes,https://kw-aruba.com//listings/blue-residence-penthouse-2-2
O Condominium Eagle Beach,Noord,Sold,949.200,3,2,Yes,https://kw-aruba.com//listings/o-condominium-eagle-beach
Oceania unit 423,Eagle Beach,New Listing,890.000,2,2,Yes,https://kw-aruba.com//listings/oceania-unit-423
Blue Residences unit #221,Eagle Beach,New Listing,826.500,3,3,Yes,https://kw-aruba.com//listings/blue-residences-unit-221
Blue Residence Unit 121,Eagle Beach,New Listing,800.000,3,3,Yes,https://kw-aruba.com//listings/blue-residence-unit-121
"Blue Residence, Townhouse #5",Oranjestad,Sold,799.000,4,4,Yes,https://kw-aruba.com//listings/townhouse
Porta Al Sole - Model Terracotta,Noord,New Listing,795.000,3,4,Yes,https://kw-aruba.com//listings/porta-al-sole-style-d
Porta Al Sole - Model Sepia,Noord,New Listing,760.000,3,4,Yes,https://kw-aruba.com//listings/porta-al-sole-model-sepia
The Daher Residence,Noord,,748.393,2,3,Yes,https://kw-aruba.com//listings/daher-residence
Acqua Condominiums,Palm Beach,,740.479,2,2,,https://kw-aruba.com//listings/acqua-condominiums
Porta Al Sole - Model Aqua,Noord,New Listing,725.000,3,4,Yes,https://kw-aruba.com//listings/porta-al-sole-style
Porta Al Sole Condos,Noord,New Listing,685.000,3,4,Yes,https://kw-aruba.com//listings/portaalsole
Gold Coast Diamante 194A,Malmok,New Listing,650.000,3,2,Yes,https://kw-aruba.com//listings/diamante-194a
Private Villa at Azure Residences,Eagle Beach,Under contract,595.000,3,2,Yes,https://kw-aruba.com//listings/private-villa-azure-residences
Blue Residence 115,Eagle Beach,Sold,545.475,2,2,Yes,https://kw-aruba.com//listings/blue-residence-115
Azure Residence 112,Eagle Beach,Sold,539.077,2,2,Yes,https://kw-aruba.com//listings/azure-residence-112
The Cove Condominiums,Palm Beach,Price upon Request,upon,3,2,Yes,https://kw-aruba.com//listings/cove-condominiums
Tierra Del Sol - Las Palmas 32A,Malmok,New Listing,490.000,2,3,Yes,https://kw-aruba.com//listings/las-palmas-32-
Waykiri Condo A-07,Noord,Under contract,475.000,2,2,Yes,https://kw-aruba.com//listings/waykiri-condo-07
Coral Shell Condominium,Oranjestad,,468.500,1,1,Yes,https://kw-aruba.com//listings/coral-shell-condominium
Blue Residences unit #633,Eagle Beach,New Listing,438.500,1,1,Yes,https://kw-aruba.com//listings/blue-residences-unit-633
Gold Coast Diamante 233B,Malmok,Reduced in price,385.000,2,2,Yes,https://kw-aruba.com//listings/diamante-233B
Diamante 68,Malmok,Under contract,369.000,2,3,Yes,https://kw-aruba.com//listings/diamante-68
Gold Coast Diamante 236D,Malmok,,350.000,2,2,Yes,https://kw-aruba.com//listings/diamante-236d
Gold Coast Diamante 238C,Malmok,New Listing,350.000,2,2,Yes,https://kw-aruba.com//listings/diamante-238c
Gold Coast Diamante 124-C,Malmok,New Listing,350.000,2,2,Yes,https://kw-aruba.com//listings/gold-coast-diamante-124-c
Gold Coast Diamante 231-D,Noord,New Listing,349.000,2,2,Yes,https://kw-aruba.com//listings/diamante-231-d
Tuscany Residence Townhouse,Noord,Sold,347.000,3,2,Yes,https://kw-aruba.com//listings/tuscany-townhouses
Diamante 16,Malmok,New Listing,340.000,2,2,Yes,https://kw-aruba.com//listings/diamante-16
Harbour House Aruba,Oranjestad,,339.121,2,1,Yes,https://kw-aruba.com//listings/harbour-house-aruba
Diamante 124 B Gold Coast Aruba,Malmok,Sold,335.000,2,2,Yes,https://kw-aruba.com//listings/diamante-124-b-gold-coast-aruba
Aracari Residences,Noord,Sold,294.866,0,0,Yes,https://kw-aruba.com//listings/aracari-residences
Wariruri Condominiums,Noord,Sold,275.800,2,2,Yes,https://kw-aruba.com//listings/wariruri-condominiums
"Gold Coast condo ""Andicuri""",Malmok,,275.000,1,1,Yes,https://kw-aruba.com//listings/gold-coast-one-bedroom-apartment-andicuri
Town House 36-B,Noord,New Listing,268.000,3,1,,https://kw-aruba.com//listings/town-house-36-b
Townhouse 1-B,Noord,New Listing,258.000,3,1,Yes,https://kw-aruba.com//listings/townhouse-1-b
Commandeurs Condominium,Oranjestad,New Listing,205.000,1,1,Yes,https://kw-aruba.com//listings/commandeurs
Bushiri property land,Oranjestad,Sold,4.157.303,0,0,,https://kw-aruba.com//listings/bushiri-property-land
Camacuri Property Land,Oranjestad,,4.000.000,0,0,,https://kw-aruba.com//listings/camacuri-property-land
Sabana Liber 24.060m2 property land,Noord,Under contract,1.743.674,0,0,,https://kw-aruba.com//listings/sabana-liber-land
Bella Vista lot 16,Malmok,,1.100.000,0,0,,https://kw-aruba.com//listings/bella-vista-lot-16
Bella Vista lot 17,Malmok,,1.100.000,0,0,,https://kw-aruba.com//listings/bella-vista-lot-17
Ponton 13726m2 Property land,Oranjestad,,925.348,0,0,,https://kw-aruba.com//listings/ponton-13726m2-property-land
